State,Code,Latitude,Longitude,2020-01-30 17:00,2020-02-01 17:00,2020-02-02 17:00,2020-02-03 17:00,2020-02-04 17:00,2020-02-05 17:00,2020-02-06 17:00,2020-02-07 17:00,2020-02-08 17:00,2020-02-09 17:00,2020-02-10 17:00,2020-02-11 17:00,2020-02-12 17:00,2020-02-13 17:00,2020-02-14 17:00,2020-02-15 17:00,2020-02-16 17:00,2020-02-17 17:00,2020-02-18 17:00,2020-02-19 17:00,2020-02-20 17:00,2020-02-21 17:00,2020-02-22 17:00,2020-02-23 17:00,2020-02-24 17:00,2020-02-25 17:00,2020-02-26 17:00,2020-02-27 17:00,2020-02-28 17:00,2020-02-29 17:00,2020-03-01 17:00,2020-03-02 17:00,2020-03-03 17:00,2020-03-04 17:00,2020-03-05 17:00,2020-03-06 17:00,2020-03-07 17:00,2020-03-08 17:00,2020-03-09 17:00,2020-03-10 17:00,2020-03-11 17:00,2020-03-12 17:00,2020-03-13 17:00,2020-03-14 17:00,2020-03-15 17:00,2020-03-16 17:00,2020-03-17 17:00,2020-03-18 17:00,2020-03-19 17:00,2020-03-20 17:00,2020-03-21 17:00,2020-03-22 17:00,2020-03-23 17:00,2020-03-24 17:00,2020-03-25 17:00,2020-03-26 17:00,2020-03-27 17:00,2020-03-28 17:00,2020-03-29 17:00,2020-03-30 17:00,2020-03-31 17:00,2020-04-01 09:00,2020-04-01 19:30,2020-04-02 09:00,2020-04-02 18:00,2020-04-03 09:00,2020-04-03 18:00,2020-04-04 09:00,2020-04-04 18:00,2020-04-05 09:00,2020-04-05 18:00,2020-04-06 09:00,2020-04-06 18:00,2020-04-07 09:00,2020-04-07 18:00,2020-04-08 08:00,2020-04-08 17:00,2020-04-09 08:00,2020-04-09 17:00,2020-04-10 08:00,2020-04-10 17:00,2020-04-11 08:00,2020-04-11 17:00,2020-04-12 08:00,2020-04-12 17:00,2020-04-13 08:00,2020-04-13 17:00,2020-04-14 08:00,2020-04-14 17:00,2020-04-15 08:00,2020-04-15 17:00,2020-04-16 08:00,2020-04-16 17:00,2020-04-17 08:00,2020-04-17 17:00,2020-04-18 08:00,2020-04-18 17:00,2020-04-19 08:00,2020-04-19 17:00,2020-04-20 08:00,2020-04-20 17:00,2020-04-21 08:00,2020-04-21 17:00,2020-04-22 08:00,2020-04-22 17:00,2020-04-23 08:00,2020-04-23 17:00,2020-04-24 08:00,2020-04-24 17:00,2020-04-25 08:00,2020-04-26 08:00,2020-04-26 17:00,2020-04-27 08:00,2020-04-27 17:00,2020-04-28 08:00,2020-04-29 08:00,2020-04-29 17:00,2020-04-30 08:00
Goa,GA,15.2993,74.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Gujarat,GJ,22.2587,71.1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,18,30,34,38,43,47,55,63,70,74,74,82,82,87,87,95,95,105,105,122,122,144,144,165,165,165,179,179,241,241,308,308,432,432,516,539,539,617,650,695,766,871,930,1021,1099,1272,1376,1604,1743,1851,1939,2066,2178,2272,2407,2407,2624,2624,2815,3071,3071,3301,3301,3548,3744,3774,4082
Haryana,HR,29.0588,76.0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,17,19,21,21,28,30,31,32,33,35,35,36,43,43,43,43,43,43,49,49,49,49,59,84,84,90,90,147,147,147,169,169,169,177,177,177,185,185,185,185,199,199,199,205,205,205,205,225,225,225,233,233,233,254,254,254,254,262,262,272,272,272,289,289,289,289,296,310,310,310
Himachal Pradesh,HP,31.1048,77.1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,13,13,13,13,18,18,18,18,18,28,28,28,32,32,32,32,32,32,33,33,35,35,35,35,36,38,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40
Jammu and Kashmir,JK,33.7782,76.5762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,6,11,14,20,33,38,49,55,55,62,62,62,70,75,75,75,92,106,106,109,109,116,116,116,158,158,158,184,207,207,207,224,245,245,270,270,278,278,300,300,314,314,328,328,341,341,350,350,368,368,380,380,407,407,427,427,454,494,494,523,523,546,565,565,581
Jharkhand,JH,23.6102,85.2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,13,13,13,14,17,17,17,19,19,24,24,27,27,28,28,28,29,33,33,34,35,42,42,46,46,45,45,49,49,53,55,57,67,67,82,82,82,103,105,107
Karnataka,KA,15.3173,75.7139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,6,6,6,7,9,14,15,15,20,26,33,41,51,55,64,81,83,91,101,101,101,110,110,124,124,128,128,144,144,151,151,151,175,175,175,181,181,181,197,207,214,214,226,232,247,247,258,260,277,279,315,315,353,359,371,384,384,390,395,408,415,418,425,427,443,445,463,474,500,501,503,511,512,523,532,535
Kerala,KL,10.8505,76.2711,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,17,17,19,22,22,24,27,27,27,28,40,52,67,95,109,118,137,176,182,202,234,241,241,241,265,265,286,286,295,295,306,306,314,314,327,327,336,336,345,345,357,357,364,364,364,374,376,376,379,379,387,387,388,388,395,395,396,396,400,400,402,402,408,408,427,427,438,438,447,448,450,457,458,458,469,481,485,486,495
Ladakh,LA,34.1526,77.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,22,22,22
Lakshadweep,LD,10.5667,72.6417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
